Document No.,Sell-to Customer No.,Sell-to Customer Name,No.,Description,Posting Date,Quantity,Unit Price Excl. Tax,Amount
PS-INV175182,12692,United Food Service,F53116,"Cs. 7"" French Hinged 12",1/7/2026,224.,32.50,"7,280.00"
PS-INV175182,12692,United Food Service,F53127,"Cs. 8"" Philly 10-6pks",1/7/2026,0.,-,-
PS-INV175938,10719-3,US Foods - Raleigh/Zebulon,F53002,Cs. Sesame Bun 8-12pk,1/8/2026,60.,41.66,"2,499.60"
PS-INV175938,10719-3,US Foods - Raleigh/Zebulon,F52902,"Cs. 22"" Rye Baguette 10-2pk",1/8/2026,8.,42.53,340.24
PS-INV175938,10719-3,US Foods - Raleigh/Zebulon,F52007,"Cs. 22"" 17oz French 10",1/8/2026,8.,39.96,319.68
PS-INV175938,10719-3,US Foods - Raleigh/Zebulon,F51026,"Cs. Marble Rye 3/4"" 8lvs",1/8/2026,60.,52.00,"3,120.00"
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F53010,Cs. Onion Roll 8-12pk,1/22/2026,16.,41.85,669.60
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F53093,"Cs. 6"" Philly Unsliced",1/22/2026,4.,47.20,188.80
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F51026,"Cs. Marble Rye 3/4"" 8lvs",1/22/2026,48.,52.00,"2,496.00"
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F53122,"Cs. 8"" Italian Hinged 12-6pk",1/22/2026,16.,38.90,622.40
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/22/2026,24.,43.50,"1,044.00"
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F53024,"Cs. 4"" Challah Kaiser 8-12pk",1/22/2026,32.,38.25,"1,224.00"
PS-INV175944,10719-4,US Foods - Columbia/Lexington,F51020,"Cs. Marble Rye 1/2"" 8lvs",1/22/2026,16.,52.00,832.00
PS-INV177013,10540-01,PFG Johnson City TN,F51383,"Cs. Challah Pullman 3/4"" 10lvs",1/7/2026,12.,55.13,661.56
PS-INV177013,10540-01,PFG Johnson City TN,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/7/2026,44.,43.82,"1,928.08"
PS-INV177013,10540-01,PFG Johnson City TN,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/7/2026,8.,53.00,424.00
PS-INV177013,10540-01,PFG Johnson City TN,F53094,"Cs. 6"" Italian 12-6pks",1/7/2026,60.,35.00,"2,100.00"
PS-INV177013,10540-01,PFG Johnson City TN,F51000,Cs. Rye Bread 8lvs,1/7/2026,4.,41.60,166.40
PS-INV177013,10540-01,PFG Johnson City TN,F51136,"Cs. Texas Toast 1"" 12lvs",1/7/2026,40.,40.62,"1,624.80"
PS-INV177013,10540-01,PFG Johnson City TN,F531052,"Cs. 6"" Hot Dog Top Sliced 12-12pk",1/7/2026,12.,40.78,489.36
PS-INV177013,10540-01,PFG Johnson City TN,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/7/2026,84.,38.75,"3,255.00"
PS-INV177013,10540-01,PFG Johnson City TN,F56251,Cs. Challah Sliders Sliced 18-12pks,1/7/2026,16.,42.11,673.76
PS-INV177013,10540-01,PFG Johnson City TN,F51077,"Cs. Oatie Multigrain 5/8"" 8lvs",1/7/2026,8.,56.00,448.00
PS-INV177013,10540-01,PFG Johnson City TN,F53136,"Cs. 8"" Squaw 12-6pks",1/7/2026,8.,37.00,296.00
PS-INV177013,10540-01,PFG Johnson City TN,F51157,"Cs. Challah Hearth 7/8"" 8lvs",1/7/2026,8.,44.65,357.20
PS-INV177041,20334,Sysco Atlanta,F53106,Cs. Large Hot Dog 12-6pk,1/5/2026,8.,36.50,292.00
PS-INV177041,20334,Sysco Atlanta,F53116,"Cs. 7"" French Hinged 12",1/5/2026,56.,31.42,"1,759.52"
PS-INV177041,20334,Sysco Atlanta,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/5/2026,196.,34.00,"6,664.00"
PS-INV177041,20334,Sysco Atlanta,F53140,"Cs. Knuckies 8"" White 12-6pk",1/5/2026,40.,41.00,"1,640.00"
PS-INV177041,20334,Sysco Atlanta,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/5/2026,112.,43.36,"4,856.32"
PS-INV177041,20334,Sysco Atlanta,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/5/2026,12.,43.26,519.12
PS-INV177099,11005,Dot Foods Inc.,F530142,Cs. Knot Roll 8-12pk,1/7/2026,128.,33.42,"4,277.76"
PS-INV177204,10540-03,PFG Louisville TN,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/6/2026,0.,42.60,-
PS-INV177204,10540-03,PFG Louisville TN,F530501,"Cs. 4.5"" Challah Kaiser 6-12pk",1/6/2026,16.,38.30,612.80
PS-INV177204,10540-03,PFG Louisville TN,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/6/2026,28.,40.62,"1,137.36"
PS-INV177204,10540-03,PFG Louisville TN,F53091,"Cs. 6"" Hoagie Slab Cut",1/6/2026,20.,35.00,700.00
PS-INV177204,10540-03,PFG Louisville TN,F530421,"Cs. 4.5"" Challah Buns 6-12pk.",1/6/2026,52.,38.30,"1,991.60"
PS-INV177204,10540-03,PFG Louisville TN,F51080,"Cs. Wheatberry Hearth 1/2"" 8lvs",1/6/2026,0.,49.00,-
PS-INV177204,10540-03,PFG Louisville TN,F53094,"Cs. 6"" Italian 12-6pks",1/6/2026,24.,35.00,840.00
PS-INV177204,10540-03,PFG Louisville TN,F51030,Cs. Sour Dough Hearth 8lvs,1/6/2026,32.,43.82,"1,402.24"
PS-INV177204,10540-03,PFG Louisville TN,F53072,"Cs. 5"" Challah Bun 8-8pk",1/6/2026,12.,38.07,456.84
PS-INV177204,10540-03,PFG Louisville TN,F53100,Cs. Hot Dog pl/sl 12-8pk,1/6/2026,40.,36.18,"1,447.20"
PS-INV177204,10540-03,PFG Louisville TN,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/6/2026,64.,43.82,"2,804.48"
PS-INV177204,10540-03,PFG Louisville TN,F51200,"Cs. Jalapeno Corn Hearth 5/8"" 8lvs",1/6/2026,8.,60.70,485.60
PS-INV177303,10547,PFG Hale TN,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/8/2026,28.,46.25,"1,295.00"
PS-INV177303,10547,PFG Hale TN,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/8/2026,24.,42.00,"1,008.00"
PS-INV177303,10547,PFG Hale TN,F530421,"Cs. 4.5"" Challah Buns 6-12pk.",1/8/2026,448.,38.30,"17,158.40"
PS-INV177303,10547,PFG Hale TN,F53094,"Cs. 6"" Italian 12-6pks",1/8/2026,84.,36.47,"3,063.48"
PS-INV177303,10547,PFG Hale TN,F53000,"Cs. 4"" Hamburger Bun 8-12pk",1/8/2026,24.,33.25,798.00
PS-INV177303,10547,PFG Hale TN,F53098,Cs. Onion Club 12-6pk,1/8/2026,60.,35.75,"2,145.00"
PS-INV177321,20334,Sysco Atlanta,F53106,Cs. Large Hot Dog 12-6pk,1/8/2026,8.,36.50,292.00
PS-INV177321,20334,Sysco Atlanta,F53116,"Cs. 7"" French Hinged 12",1/8/2026,84.,31.42,"2,639.28"
PS-INV177321,20334,Sysco Atlanta,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/8/2026,112.,34.00,"3,808.00"
PS-INV177321,20334,Sysco Atlanta,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/8/2026,24.,43.26,"1,038.24"
PS-INV177321,20334,Sysco Atlanta,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/8/2026,28.,43.36,"1,214.08"
PS-INV177321,20334,Sysco Atlanta,F53033,"Cs. 4"" Parker House 8-12pk",1/8/2026,28.,39.53,"1,106.84"
PS-INV177321,20334,Sysco Atlanta,F51157,"Cs. Challah Hearth 7/8"" 8lvs",1/8/2026,18.,42.02,756.36
PS-INV177321,20334,Sysco Atlanta,F53140,"Cs. Knuckies 8"" White 12-6pk",1/8/2026,40.,41.00,"1,640.00"
PS-INV178030,12989,Sysco Little Rock Arkansas,F53116,"Cs. 7"" French Hinged 12",1/15/2026,28.,35.75,"1,001.00"
PS-INV178030,12989,Sysco Little Rock Arkansas,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/15/2026,28.,50.60,"1,416.80"
PS-INV178030,12989,Sysco Little Rock Arkansas,F53115,"Cs. 7"" French Unsliced 12-6pk",1/15/2026,224.,35.00,"7,840.00"
PS-INV178033,13092,Sysco WEST COAST,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/13/2026,336.,35.00,"11,760.00"
PS-INV178033,13092,Sysco WEST COAST,F530491,Cs. 4.5 Brioche Bun 6-12pk,1/13/2026,112.,39.65,"4,440.80"
PS-INV178270,10540-02,PFG Valdosta GA,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/14/2026,40.,42.60,"1,704.00"
PS-INV178270,10540-02,PFG Valdosta GA,F54301,Cs. Potato Roll Sliced 12-16pk,1/14/2026,36.,41.15,"1,481.40"
PS-INV178270,10540-02,PFG Valdosta GA,F51000,Cs. Rye Bread 8lvs,1/14/2026,4.,41.60,166.40
PS-INV178288,11394,La Cosecha Food Service,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/14/2026,30.,30.32,909.60
PS-INV178288,11394,La Cosecha Food Service,F530401,"Cs. 4.5"" Sesame 6-12pk",1/14/2026,30.,34.18,"1,025.40"
PS-INV178335,10805,Sysco Jacksonville,F53100,Cs. Hot Dog pl/sl 12-8pk,1/15/2026,4.,36.60,146.40
PS-INV178335,10805,Sysco Jacksonville,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/15/2026,28.,50.60,"1,416.80"
PS-INV178335,10805,Sysco Jacksonville,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/15/2026,252.,40.80,"10,281.60"
PS-INV178335,10805,Sysco Jacksonville,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/15/2026,140.,39.90,"5,586.00"
PS-INV178335,10805,Sysco Jacksonville,F56251,Cs. Challah Sliders Sliced 18-12pks,1/15/2026,28.,42.35,"1,185.80"
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F54301,Cs. Potato Roll Sliced 12-16pk,1/5/2026,12.,40.10,481.20
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F53115,"Cs. 7"" French Unsliced 12-6pk",1/5/2026,12.,28.88,346.56
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F53070,"Cs. 5"" Challah Sesame Buns ",1/5/2026,32.,32.89,"1,052.48"
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/5/2026,216.,28.49,"6,153.84"
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F54014,Cs. White Mountain Dinner Rolls 12-12pk,1/5/2026,32.,29.10,931.20
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F51136,"Cs. Texas Toast 1"" 12lvs",1/5/2026,28.,28.49,797.72
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F51130,Cs. Club White 12lvs,1/5/2026,64.,28.49,"1,823.36"
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F53094,"Cs. 6"" Italian 12-6pks",1/5/2026,252.,25.25,"6,363.00"
PS-INV178998,10899,Wood Fruitticher Grocery Co.,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/5/2026,196.,40.43,"7,924.28"
PS-INV179006,10138-5,Costco PriceSmart Export,F53106,Cs. Large Hot Dog 12-6pk,1/21/2026,960.,26.25,"25,200.00"
PS-INV179010,20334,Sysco Atlanta,F53116,"Cs. 7"" French Hinged 12",1/15/2026,56.,31.42,"1,759.52"
PS-INV179010,20334,Sysco Atlanta,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/15/2026,140.,34.00,"4,760.00"
PS-INV179010,20334,Sysco Atlanta,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/15/2026,24.,43.26,"1,038.24"
PS-INV179010,20334,Sysco Atlanta,F51127,Cs. Challah 3-Braid 8,1/15/2026,20.,43.26,865.20
PS-INV179010,20334,Sysco Atlanta,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/15/2026,112.,43.36,"4,856.32"
PS-INV179010,20334,Sysco Atlanta,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/15/2026,20.,41.20,824.00
PS-INV179010,20334,Sysco Atlanta,F51157,"Cs. Challah Hearth 7/8"" 8lvs",1/15/2026,1.,42.02,42.02
PS-INV179010,20334,Sysco Atlanta,F53140,"Cs. Knuckies 8"" White 12-6pk",1/15/2026,20.,41.00,820.00
PS-INV179035,13128,Gordon Food Service - Shepherdsville,F51084,Cs. Wheatberry Hearth,1/15/2026,48.,33.30,"1,598.40"
PS-INV179035,13128,Gordon Food Service - Shepherdsville,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/15/2026,256.,36.82,"9,425.92"
PS-INV179035,13128,Gordon Food Service - Shepherdsville,F51114,"Cs. Old Fashioned Hearth 5/8"" 8lvs",1/15/2026,112.,39.70,"4,446.40"
PS-INV179035,13128,Gordon Food Service - Shepherdsville,F56251,Cs. Challah Sliders Sliced 18-12pks,1/15/2026,400.,39.70,"15,880.00"
PS-INV179062,10719-2,US Foods - Fairburn,F53005,"Cs. 4"" Gourmet PDS Bun 8-12pk",1/19/2026,52.,40.11,"2,085.72"
PS-INV179062,10719-2,US Foods - Fairburn,F56560,"Gluten Free 3.5"" Hamburger 36ct",1/19/2026,12.,48.57,582.84
PS-INV179062,10719-2,US Foods - Fairburn,F53010,Cs. Onion Roll 8-12pk,1/19/2026,32.,40.85,"1,307.20"
PS-INV179062,10719-2,US Foods - Fairburn,F53122,"Cs. 8"" Italian Hinged 12-6pk",1/19/2026,116.,40.90,"4,744.40"
PS-INV179062,10719-2,US Foods - Fairburn,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/19/2026,72.,38.08,"2,741.76"
PS-INV179062,10719-2,US Foods - Fairburn,F53024,"Cs. 4"" Challah Kaiser 8-12pk",1/19/2026,60.,40.22,"2,413.20"
PS-INV179701,10540-03,PFG Louisville TN,F530501,"Cs. 4.5"" Challah Kaiser 6-12pk",1/15/2026,28.,38.30,"1,072.40"
PS-INV179701,10540-03,PFG Louisville TN,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/15/2026,0.,40.62,-
PS-INV179701,10540-03,PFG Louisville TN,F53091,"Cs. 6"" Hoagie Slab Cut",1/15/2026,28.,35.00,980.00
PS-INV179701,10540-03,PFG Louisville TN,F530421,"Cs. 4.5"" Challah Buns 6-12pk.",1/15/2026,84.,38.30,"3,217.20"
PS-INV179701,10540-03,PFG Louisville TN,F51080,"Cs. Wheatberry Hearth 1/2"" 8lvs",1/15/2026,28.,49.00,"1,372.00"
PS-INV179701,10540-03,PFG Louisville TN,F51030,Cs. Sour Dough Hearth 8lvs,1/15/2026,0.,43.82,-
PS-INV179701,10540-03,PFG Louisville TN,F53072,"Cs. 5"" Challah Bun 8-8pk",1/15/2026,8.,38.07,304.56
PS-INV179701,10540-03,PFG Louisville TN,F53100,Cs. Hot Dog pl/sl 12-8pk,1/15/2026,40.,36.18,"1,447.20"
PS-INV179701,10540-03,PFG Louisville TN,F53106,Cs. Large Hot Dog 12-6pk,1/15/2026,12.,36.07,432.84
PS-INV179701,10540-03,PFG Louisville TN,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/15/2026,56.,43.82,"2,453.92"
PS-INV179701,10540-03,PFG Louisville TN,F53094,"Cs. 6"" Italian 12-6pks",1/15/2026,28.,35.00,980.00
PS-INV179701,10540-03,PFG Louisville TN,F51414,"Cs. Cranberry 9 Grain Hearth 5/8"" 8lvs",1/15/2026,16.,64.00,"1,024.00"
PS-INV179701,10540-03,PFG Louisville TN,F51200,"Cs. Jalapeno Corn Hearth 5/8"" 8lvs",1/15/2026,0.,60.70,-
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/14/2026,96.,35.48,"3,406.08"
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53115,"Cs. 7"" French Unsliced 12-6pk",1/14/2026,12.,28.88,346.56
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53070,"Cs. 5"" Challah Sesame Buns ",1/14/2026,96.,32.89,"3,157.44"
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53000,"Cs. 4"" Hamburger Bun 8-12pk",1/14/2026,224.,28.33,"6,345.92"
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F51137,"Cs. Texas Toast 3/4"" 12lvs",1/14/2026,192.,28.49,"5,470.08"
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F54014,Cs. White Mountain Dinner Rolls 12-12pk,1/14/2026,32.,29.10,931.20
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F51134,Cs. Club Wheat 12lvs,1/14/2026,32.,28.49,911.68
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F51130,Cs. Club White 12lvs,1/14/2026,32.,28.49,911.68
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53116,"Cs. 7"" French Hinged 12",1/14/2026,48.,28.88,"1,386.24"
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F530441,"Cs. 4.5""Onion Roll",1/14/2026,16.,43.34,693.44
PS-INV179795,10899,Wood Fruitticher Grocery Co.,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/14/2026,56.,40.43,"2,264.08"
PS-INV180211,10500-37,Life University #30994 - Barclay Circle,F56560,"Gluten Free 3.5"" Hamburger 36ct",1/7/2026,0.,-,-
PS-INV180403,20069,Cherry St.,F56560,"Gluten Free 3.5"" Hamburger 36ct",1/8/2026,0.,-,-
PS-INV180595,10719-6,US Foods - Alcoa TN.,F530142,Cs. Knot Roll 8-12pk,1/27/2026,0.,36.50,-
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51136,"Cs. Texas Toast 1"" 12lvs",1/27/2026,56.,40.12,"2,246.72"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51004,"Cs. Rye 5/8"" 8lvs",1/27/2026,4.,42.03,168.12
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53025,Cs. Sesame Challah Kaiser 8-12pk,1/27/2026,56.,39.00,"2,184.00"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/27/2026,72.,36.24,"2,609.28"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51066,"Cs. Honey Wheat 3/4"" 8lvs",1/27/2026,8.,35.21,281.68
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/27/2026,252.,45.49,"11,463.48"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51084,Cs. Wheatberry Hearth,1/27/2026,8.,52.47,419.76
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/27/2026,28.,54.00,"1,512.00"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/27/2026,28.,43.20,"1,209.60"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51157,"Cs. Challah Hearth 7/8"" 8lvs",1/27/2026,56.,44.15,"2,472.40"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53028,"Cs. 4"" Sour Dough Bun 8-12pk",1/27/2026,8.,47.40,379.20
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53006,"Cs. 4"" Wheat Bun 8-12pk",1/27/2026,4.,40.22,160.88
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53127,"Cs. 8"" Philly 10-6pks",1/27/2026,96.,42.37,"4,067.52"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F51343,"Cs. White Bread Pullman 3/4"" 10lvs",1/27/2026,28.,42.22,"1,182.16"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F52035,Cs. French Boule 12-2pk,1/27/2026,56.,32.55,"1,822.80"
PS-INV180595,10719-6,US Foods - Alcoa TN.,F53024,"Cs. 4"" Challah Kaiser 8-12pk",1/27/2026,28.,40.22,"1,126.16"
PS-INV180616,10719-12,US Foods - Port Orange,F53002,Cs. Sesame Bun 8-12pk,1/28/2026,600.,41.66,"24,996.00"
PS-INV180616,10719-12,US Foods - Port Orange,F52902,"Cs. 22"" Rye Baguette 10-2pk",1/28/2026,48.,42.53,"2,041.44"
PS-INV180616,10719-12,US Foods - Port Orange,F52007,"Cs. 22"" 17oz French 10",1/28/2026,48.,39.96,"1,918.08"
PS-INV180616,10719-12,US Foods - Port Orange,F53000,"Cs. 4"" Hamburger Bun 8-12pk",1/28/2026,64.,33.50,"2,144.00"
PS-INV180617,11005,Dot Foods Inc.,F530142,Cs. Knot Roll 8-12pk,1/16/2026,704.,33.42,"23,527.68"
PS-INV180618,1-4,Heath West,F53124,"Cs. 8"" Sesame Italian 12-6pk",1/8/2026,1.,-,-
PS-INV180652,20334,Sysco Atlanta,F53116,"Cs. 7"" French Hinged 12",1/22/2026,56.,31.42,"1,759.52"
PS-INV180652,20334,Sysco Atlanta,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/22/2026,112.,34.00,"3,808.00"
PS-INV180652,20334,Sysco Atlanta,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/22/2026,12.,43.26,519.12
PS-INV180652,20334,Sysco Atlanta,F51127,Cs. Challah 3-Braid 8,1/22/2026,20.,43.26,865.20
PS-INV180652,20334,Sysco Atlanta,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/22/2026,112.,43.36,"4,856.32"
PS-INV180652,20334,Sysco Atlanta,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/22/2026,20.,41.20,824.00
PS-INV180652,20334,Sysco Atlanta,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/22/2026,28.,38.19,"1,069.32"
PS-INV180652,20334,Sysco Atlanta,F53013,"Cs. 4"" Vidalia 8-12pk",1/22/2026,8.,45.84,366.72
PS-INV180652,20334,Sysco Atlanta,F53140,"Cs. Knuckies 8"" White 12-6pk",1/22/2026,40.,41.00,"1,640.00"
PS-INV180652,20334,Sysco Atlanta,F53033,"Cs. 4"" Parker House 8-12pk",1/22/2026,56.,39.53,"2,213.68"
PS-INV180718,13128,Gordon Food Service - Shepherdsville,F51084,Cs. Wheatberry Hearth,1/21/2026,80.,33.30,"2,664.00"
PS-INV180718,13128,Gordon Food Service - Shepherdsville,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/21/2026,336.,36.82,"12,371.52"
PS-INV180718,13128,Gordon Food Service - Shepherdsville,F51114,"Cs. Old Fashioned Hearth 5/8"" 8lvs",1/21/2026,112.,39.70,"4,446.40"
PS-INV180718,13128,Gordon Food Service - Shepherdsville,F56251,Cs. Challah Sliders Sliced 18-12pks,1/21/2026,320.,39.70,"12,704.00"
PS-INV180754,10719-13,US Foods - Montgomery,F53005,"Cs. 4"" Gourmet PDS Bun 8-12pk",1/28/2026,224.,37.00,"8,288.00"
PS-INV180754,10719-13,US Foods - Montgomery,F53010,Cs. Onion Roll 8-12pk,1/28/2026,28.,42.00,"1,176.00"
PS-INV180754,10719-13,US Foods - Montgomery,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/28/2026,112.,42.00,"4,704.00"
PS-INV180754,10719-13,US Foods - Montgomery,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/28/2026,196.,38.08,"7,463.68"
PS-INV180999,10155-45,Hammer and Spoon MTWTHF,F56251,Cs. Challah Sliders Sliced 18-12pks,1/9/2026,0.,-,-
PS-INV180999,10155-45,Hammer and Spoon MTWTHF,F56560,"Gluten Free 3.5"" Hamburger 36ct",1/9/2026,0.,-,-
PS-INV180999,10155-45,Hammer and Spoon MTWTHF,F56255,Cs. English Muffin 30-6pk,1/9/2026,0.,-,-
PS-INV181456,11005,Dot Foods Inc.,F530142,Cs. Knot Roll 8-12pk,1/30/2026,320.,33.42,"10,694.40"
